Epoch 01  val_acc=0.754 f1_macro=0.183  f1_weighted=0.713
Epoch 02  val_acc=0.792 f1_macro=0.272  f1_weighted=0.758
Epoch 03  val_acc=0.814 f1_macro=0.372  f1_weighted=0.795
Epoch 04  val_acc=0.832 f1_macro=0.448  f1_weighted=0.817
Epoch 05  val_acc=0.841 f1_macro=0.478  f1_weighted=0.826
Epoch 06  val_acc=0.850 f1_macro=0.521  f1_weighted=0.841
Epoch 07  val_acc=0.865 f1_macro=0.558  f1_weighted=0.857
Epoch 08  val_acc=0.868 f1_macro=0.574  f1_weighted=0.862
Epoch 09  val_acc=0.876 f1_macro=0.624  f1_weighted=0.871
Epoch 10  val_acc=0.880 f1_macro=0.628  f1_weighted=0.875
Epoch 11  val_acc=0.886 f1_macro=0.645  f1_weighted=0.882
Epoch 12  val_acc=0.888 f1_macro=0.648  f1_weighted=0.883
Epoch 13  val_acc=0.890 f1_macro=0.660  f1_weighted=0.886
Epoch 14  val_acc=0.891 f1_macro=0.659  f1_weighted=0.887
Epoch 15  val_acc=0.893 f1_macro=0.658  f1_weighted=0.889
