Epoch 01  val_acc=0.760 f1_macro=0.248  f1_weighted=0.726
Epoch 02  val_acc=0.798 f1_macro=0.333  f1_weighted=0.768
Epoch 03  val_acc=0.795 f1_macro=0.342  f1_weighted=0.773
Epoch 04  val_acc=0.816 f1_macro=0.393  f1_weighted=0.802
Epoch 05  val_acc=0.825 f1_macro=0.449  f1_weighted=0.812
Epoch 06  val_acc=0.844 f1_macro=0.499  f1_weighted=0.833
Epoch 07  val_acc=0.849 f1_macro=0.526  f1_weighted=0.839
Epoch 08  val_acc=0.862 f1_macro=0.577  f1_weighted=0.855
Epoch 09  val_acc=0.870 f1_macro=0.588  f1_weighted=0.864
Epoch 10  val_acc=0.879 f1_macro=0.625  f1_weighted=0.876
Epoch 11  val_acc=0.888 f1_macro=0.638  f1_weighted=0.885
Epoch 12  val_acc=0.894 f1_macro=0.661  f1_weighted=0.890
Epoch 13  val_acc=0.898 f1_macro=0.668  f1_weighted=0.895
Epoch 14  val_acc=0.901 f1_macro=0.687  f1_weighted=0.898
Epoch 15  val_acc=0.901 f1_macro=0.683  f1_weighted=0.898
