Epoch 01  val_acc=0.733 f1_macro=0.095  f1_weighted=0.653
Epoch 02  val_acc=0.772 f1_macro=0.170  f1_weighted=0.719
Epoch 03  val_acc=0.787 f1_macro=0.235  f1_weighted=0.751
Epoch 04  val_acc=0.806 f1_macro=0.282  f1_weighted=0.775
Epoch 05  val_acc=0.810 f1_macro=0.319  f1_weighted=0.784
Epoch 06  val_acc=0.819 f1_macro=0.344  f1_weighted=0.794
Epoch 07  val_acc=0.831 f1_macro=0.389  f1_weighted=0.812
Epoch 08  val_acc=0.830 f1_macro=0.404  f1_weighted=0.811
Epoch 09  val_acc=0.840 f1_macro=0.430  f1_weighted=0.823
Epoch 10  val_acc=0.838 f1_macro=0.432  f1_weighted=0.824
Epoch 11  val_acc=0.847 f1_macro=0.479  f1_weighted=0.834
Epoch 12  val_acc=0.853 f1_macro=0.493  f1_weighted=0.839
Epoch 13  val_acc=0.855 f1_macro=0.511  f1_weighted=0.844
Epoch 14  val_acc=0.855 f1_macro=0.518  f1_weighted=0.845
Epoch 15  val_acc=0.859 f1_macro=0.539  f1_weighted=0.850
Epoch 16  val_acc=0.865 f1_macro=0.561  f1_weighted=0.858
Epoch 17  val_acc=0.865 f1_macro=0.555  f1_weighted=0.856
Epoch 18  val_acc=0.866 f1_macro=0.555  f1_weighted=0.857
Epoch 19  val_acc=0.869 f1_macro=0.568  f1_weighted=0.861
Epoch 20  val_acc=0.873 f1_macro=0.582  f1_weighted=0.865
Epoch 21  val_acc=0.873 f1_macro=0.576  f1_weighted=0.865
Epoch 22  val_acc=0.875 f1_macro=0.587  f1_weighted=0.867
Epoch 23  val_acc=0.875 f1_macro=0.587  f1_weighted=0.867
Epoch 24  val_acc=0.877 f1_macro=0.595  f1_weighted=0.870
Epoch 25  val_acc=0.877 f1_macro=0.592  f1_weighted=0.870
Epoch 26  val_acc=0.877 f1_macro=0.595  f1_weighted=0.870
Epoch 27  val_acc=0.878 f1_macro=0.600  f1_weighted=0.871
Epoch 28  val_acc=0.878 f1_macro=0.600  f1_weighted=0.871
Epoch 29  val_acc=0.879 f1_macro=0.599  f1_weighted=0.872
Epoch 30  val_acc=0.878 f1_macro=0.599  f1_weighted=0.871
