Epoch 01  val_acc=0.745 f1_macro=0.128  f1_weighted=0.682
Epoch 02  val_acc=0.790 f1_macro=0.230  f1_weighted=0.748
Epoch 03  val_acc=0.802 f1_macro=0.296  f1_weighted=0.774
Epoch 04  val_acc=0.820 f1_macro=0.357  f1_weighted=0.800
Epoch 05  val_acc=0.825 f1_macro=0.383  f1_weighted=0.806
Epoch 06  val_acc=0.828 f1_macro=0.408  f1_weighted=0.811
Epoch 07  val_acc=0.833 f1_macro=0.436  f1_weighted=0.821
Epoch 08  val_acc=0.840 f1_macro=0.459  f1_weighted=0.826
Epoch 09  val_acc=0.844 f1_macro=0.469  f1_weighted=0.829
Epoch 10  val_acc=0.859 f1_macro=0.520  f1_weighted=0.849
Epoch 11  val_acc=0.860 f1_macro=0.543  f1_weighted=0.852
Epoch 12  val_acc=0.866 f1_macro=0.568  f1_weighted=0.859
Epoch 13  val_acc=0.865 f1_macro=0.554  f1_weighted=0.857
Epoch 14  val_acc=0.874 f1_macro=0.579  f1_weighted=0.866
Epoch 15  val_acc=0.881 f1_macro=0.602  f1_weighted=0.874
Epoch 16  val_acc=0.882 f1_macro=0.617  f1_weighted=0.877
Epoch 17  val_acc=0.884 f1_macro=0.626  f1_weighted=0.879
Epoch 18  val_acc=0.883 f1_macro=0.618  f1_weighted=0.879
Epoch 19  val_acc=0.885 f1_macro=0.617  f1_weighted=0.880
Epoch 20  val_acc=0.891 f1_macro=0.641  f1_weighted=0.887
Epoch 21  val_acc=0.891 f1_macro=0.644  f1_weighted=0.887
Epoch 22  val_acc=0.890 f1_macro=0.637  f1_weighted=0.886
Epoch 23  val_acc=0.893 f1_macro=0.649  f1_weighted=0.890
Epoch 24  val_acc=0.895 f1_macro=0.649  f1_weighted=0.891
Epoch 25  val_acc=0.896 f1_macro=0.652  f1_weighted=0.893
Epoch 26  val_acc=0.896 f1_macro=0.656  f1_weighted=0.892
Epoch 27  val_acc=0.896 f1_macro=0.655  f1_weighted=0.892
Epoch 28  val_acc=0.897 f1_macro=0.657  f1_weighted=0.893
Epoch 29  val_acc=0.897 f1_macro=0.658  f1_weighted=0.893
Epoch 30  val_acc=0.897 f1_macro=0.657  f1_weighted=0.893
