Epoch 01  val_acc=0.779 f1_macro=0.241  f1_weighted=0.743
Epoch 02  val_acc=0.807 f1_macro=0.366  f1_weighted=0.787
Epoch 03  val_acc=0.832 f1_macro=0.437  f1_weighted=0.814
Epoch 04  val_acc=0.833 f1_macro=0.464  f1_weighted=0.819
Epoch 05  val_acc=0.850 f1_macro=0.513  f1_weighted=0.841
Epoch 06  val_acc=0.859 f1_macro=0.555  f1_weighted=0.850
Epoch 07  val_acc=0.870 f1_macro=0.579  f1_weighted=0.864
Epoch 08  val_acc=0.880 f1_macro=0.638  f1_weighted=0.875
Epoch 09  val_acc=0.886 f1_macro=0.633  f1_weighted=0.882
Epoch 10  val_acc=0.892 f1_macro=0.666  f1_weighted=0.889
Epoch 11  val_acc=0.895 f1_macro=0.677  f1_weighted=0.892
Epoch 12  val_acc=0.898 f1_macro=0.683  f1_weighted=0.895
Epoch 13  val_acc=0.900 f1_macro=0.681  f1_weighted=0.897
Epoch 14  val_acc=0.903 f1_macro=0.690  f1_weighted=0.900
Epoch 15  val_acc=0.903 f1_macro=0.687  f1_weighted=0.899
