Epoch 01  val_acc=0.740 f1_macro=0.202  f1_weighted=0.707
Epoch 02  val_acc=0.758 f1_macro=0.261  f1_weighted=0.725
Epoch 03  val_acc=0.792 f1_macro=0.326  f1_weighted=0.766
Epoch 04  val_acc=0.798 f1_macro=0.332  f1_weighted=0.769
Epoch 05  val_acc=0.804 f1_macro=0.389  f1_weighted=0.788
Epoch 06  val_acc=0.824 f1_macro=0.427  f1_weighted=0.809
Epoch 07  val_acc=0.843 f1_macro=0.500  f1_weighted=0.832
Epoch 08  val_acc=0.853 f1_macro=0.526  f1_weighted=0.843
Epoch 09  val_acc=0.856 f1_macro=0.544  f1_weighted=0.850
Epoch 10  val_acc=0.866 f1_macro=0.584  f1_weighted=0.859
Epoch 11  val_acc=0.875 f1_macro=0.611  f1_weighted=0.871
Epoch 12  val_acc=0.879 f1_macro=0.621  f1_weighted=0.874
Epoch 13  val_acc=0.888 f1_macro=0.653  f1_weighted=0.884
Epoch 14  val_acc=0.891 f1_macro=0.642  f1_weighted=0.888
Epoch 15  val_acc=0.893 f1_macro=0.659  f1_weighted=0.889
