Epoch 01  val_acc=0.771 f1_macro=0.252  f1_weighted=0.739
Epoch 02  val_acc=0.803 f1_macro=0.346  f1_weighted=0.778
Epoch 03  val_acc=0.817 f1_macro=0.410  f1_weighted=0.799
Epoch 04  val_acc=0.829 f1_macro=0.455  f1_weighted=0.818
Epoch 05  val_acc=0.841 f1_macro=0.492  f1_weighted=0.831
Epoch 06  val_acc=0.846 f1_macro=0.512  f1_weighted=0.839
Epoch 07  val_acc=0.855 f1_macro=0.543  f1_weighted=0.844
Epoch 08  val_acc=0.865 f1_macro=0.575  f1_weighted=0.857
Epoch 09  val_acc=0.876 f1_macro=0.612  f1_weighted=0.870
Epoch 10  val_acc=0.884 f1_macro=0.634  f1_weighted=0.879
Epoch 11  val_acc=0.891 f1_macro=0.649  f1_weighted=0.887
Epoch 12  val_acc=0.894 f1_macro=0.664  f1_weighted=0.891
Epoch 13  val_acc=0.896 f1_macro=0.661  f1_weighted=0.892
Epoch 14  val_acc=0.899 f1_macro=0.679  f1_weighted=0.896
Epoch 15  val_acc=0.900 f1_macro=0.678  f1_weighted=0.897
