Epoch 01  val_acc=0.785 f1_macro=0.241  f1_weighted=0.747
Epoch 02  val_acc=0.819 f1_macro=0.375  f1_weighted=0.800
Epoch 03  val_acc=0.834 f1_macro=0.449  f1_weighted=0.819
Epoch 04  val_acc=0.842 f1_macro=0.477  f1_weighted=0.829
Epoch 05  val_acc=0.857 f1_macro=0.533  f1_weighted=0.849
Epoch 06  val_acc=0.857 f1_macro=0.535  f1_weighted=0.848
Epoch 07  val_acc=0.865 f1_macro=0.579  f1_weighted=0.859
Epoch 08  val_acc=0.873 f1_macro=0.594  f1_weighted=0.866
Epoch 09  val_acc=0.880 f1_macro=0.622  f1_weighted=0.874
Epoch 10  val_acc=0.881 f1_macro=0.643  f1_weighted=0.878
Epoch 11  val_acc=0.887 f1_macro=0.646  f1_weighted=0.882
Epoch 12  val_acc=0.890 f1_macro=0.648  f1_weighted=0.885
Epoch 13  val_acc=0.890 f1_macro=0.657  f1_weighted=0.887
Epoch 14  val_acc=0.890 f1_macro=0.650  f1_weighted=0.886
Epoch 15  val_acc=0.895 f1_macro=0.680  f1_weighted=0.891
Epoch 16  val_acc=0.894 f1_macro=0.662  f1_weighted=0.890
Epoch 17  val_acc=0.893 f1_macro=0.663  f1_weighted=0.889
Epoch 18  val_acc=0.898 f1_macro=0.664  f1_weighted=0.894
Epoch 19  val_acc=0.900 f1_macro=0.673  f1_weighted=0.896
Epoch 20  val_acc=0.900 f1_macro=0.676  f1_weighted=0.897
Epoch 21  val_acc=0.899 f1_macro=0.676  f1_weighted=0.896
Epoch 22  val_acc=0.902 f1_macro=0.673  f1_weighted=0.898
Epoch 23  val_acc=0.903 f1_macro=0.681  f1_weighted=0.899
Epoch 24  val_acc=0.904 f1_macro=0.683  f1_weighted=0.900
Epoch 25  val_acc=0.904 f1_macro=0.691  f1_weighted=0.900
Epoch 26  val_acc=0.906 f1_macro=0.692  f1_weighted=0.902
Epoch 27  val_acc=0.906 f1_macro=0.689  f1_weighted=0.902
Epoch 28  val_acc=0.906 f1_macro=0.691  f1_weighted=0.903
Epoch 29  val_acc=0.906 f1_macro=0.687  f1_weighted=0.903
Epoch 30  val_acc=0.906 f1_macro=0.686  f1_weighted=0.903
