Epoch 01  val_acc=0.769 f1_macro=0.250  f1_weighted=0.740
Epoch 02  val_acc=0.802 f1_macro=0.359  f1_weighted=0.780
Epoch 03  val_acc=0.813 f1_macro=0.404  f1_weighted=0.800
Epoch 04  val_acc=0.822 f1_macro=0.425  f1_weighted=0.804
Epoch 05  val_acc=0.830 f1_macro=0.456  f1_weighted=0.819
Epoch 06  val_acc=0.833 f1_macro=0.473  f1_weighted=0.823
Epoch 07  val_acc=0.855 f1_macro=0.526  f1_weighted=0.848
Epoch 08  val_acc=0.859 f1_macro=0.555  f1_weighted=0.851
Epoch 09  val_acc=0.880 f1_macro=0.622  f1_weighted=0.874
Epoch 10  val_acc=0.885 f1_macro=0.636  f1_weighted=0.880
Epoch 11  val_acc=0.896 f1_macro=0.667  f1_weighted=0.892
Epoch 12  val_acc=0.899 f1_macro=0.680  f1_weighted=0.897
Epoch 13  val_acc=0.906 f1_macro=0.683  f1_weighted=0.902
Epoch 14  val_acc=0.907 f1_macro=0.690  f1_weighted=0.904
Epoch 15  val_acc=0.907 f1_macro=0.682  f1_weighted=0.904
