Epoch 01  val_acc=0.745 f1_macro=0.126  f1_weighted=0.680
Epoch 02  val_acc=0.783 f1_macro=0.233  f1_weighted=0.743
Epoch 03  val_acc=0.799 f1_macro=0.314  f1_weighted=0.779
Epoch 04  val_acc=0.825 f1_macro=0.372  f1_weighted=0.807
Epoch 05  val_acc=0.835 f1_macro=0.406  f1_weighted=0.819
Epoch 06  val_acc=0.845 f1_macro=0.461  f1_weighted=0.834
Epoch 07  val_acc=0.853 f1_macro=0.497  f1_weighted=0.841
Epoch 08  val_acc=0.864 f1_macro=0.531  f1_weighted=0.854
Epoch 09  val_acc=0.870 f1_macro=0.557  f1_weighted=0.862
Epoch 10  val_acc=0.875 f1_macro=0.585  f1_weighted=0.868
Epoch 11  val_acc=0.879 f1_macro=0.610  f1_weighted=0.874
Epoch 12  val_acc=0.889 f1_macro=0.631  f1_weighted=0.882
Epoch 13  val_acc=0.887 f1_macro=0.633  f1_weighted=0.883
Epoch 14  val_acc=0.887 f1_macro=0.636  f1_weighted=0.883
Epoch 15  val_acc=0.895 f1_macro=0.665  f1_weighted=0.891
Epoch 16  val_acc=0.893 f1_macro=0.666  f1_weighted=0.889
Epoch 17  val_acc=0.899 f1_macro=0.665  f1_weighted=0.895
Epoch 18  val_acc=0.900 f1_macro=0.672  f1_weighted=0.897
Epoch 19  val_acc=0.902 f1_macro=0.680  f1_weighted=0.898
Epoch 20  val_acc=0.904 f1_macro=0.675  f1_weighted=0.900
Epoch 21  val_acc=0.901 f1_macro=0.673  f1_weighted=0.897
Epoch 22  val_acc=0.904 f1_macro=0.687  f1_weighted=0.901
Epoch 23  val_acc=0.903 f1_macro=0.684  f1_weighted=0.900
Epoch 24  val_acc=0.904 f1_macro=0.685  f1_weighted=0.901
Epoch 25  val_acc=0.905 f1_macro=0.683  f1_weighted=0.901
Epoch 26  val_acc=0.904 f1_macro=0.677  f1_weighted=0.901
Epoch 27  val_acc=0.904 f1_macro=0.684  f1_weighted=0.901
Epoch 28  val_acc=0.906 f1_macro=0.686  f1_weighted=0.902
Epoch 29  val_acc=0.905 f1_macro=0.683  f1_weighted=0.901
Epoch 30  val_acc=0.905 f1_macro=0.681  f1_weighted=0.901
