Epoch 01  val_acc=0.767 f1_macro=0.190  f1_weighted=0.717
Epoch 02  val_acc=0.805 f1_macro=0.331  f1_weighted=0.782
Epoch 03  val_acc=0.824 f1_macro=0.412  f1_weighted=0.806
Epoch 04  val_acc=0.839 f1_macro=0.470  f1_weighted=0.825
Epoch 05  val_acc=0.846 f1_macro=0.506  f1_weighted=0.836
Epoch 06  val_acc=0.856 f1_macro=0.544  f1_weighted=0.848
Epoch 07  val_acc=0.868 f1_macro=0.574  f1_weighted=0.859
Epoch 08  val_acc=0.876 f1_macro=0.614  f1_weighted=0.871
Epoch 09  val_acc=0.881 f1_macro=0.633  f1_weighted=0.876
Epoch 10  val_acc=0.886 f1_macro=0.639  f1_weighted=0.881
Epoch 11  val_acc=0.894 f1_macro=0.663  f1_weighted=0.890
Epoch 12  val_acc=0.898 f1_macro=0.672  f1_weighted=0.894
Epoch 13  val_acc=0.897 f1_macro=0.666  f1_weighted=0.894
Epoch 14  val_acc=0.899 f1_macro=0.670  f1_weighted=0.895
Epoch 15  val_acc=0.898 f1_macro=0.668  f1_weighted=0.895
