Epoch 01  val_acc=0.780 f1_macro=0.259  f1_weighted=0.747
Epoch 02  val_acc=0.807 f1_macro=0.368  f1_weighted=0.788
Epoch 03  val_acc=0.806 f1_macro=0.391  f1_weighted=0.793
Epoch 04  val_acc=0.827 f1_macro=0.453  f1_weighted=0.812
Epoch 05  val_acc=0.841 f1_macro=0.504  f1_weighted=0.833
Epoch 06  val_acc=0.848 f1_macro=0.529  f1_weighted=0.839
Epoch 07  val_acc=0.865 f1_macro=0.585  f1_weighted=0.857
Epoch 08  val_acc=0.859 f1_macro=0.567  f1_weighted=0.851
Epoch 09  val_acc=0.885 f1_macro=0.641  f1_weighted=0.880
Epoch 10  val_acc=0.891 f1_macro=0.666  f1_weighted=0.886
Epoch 11  val_acc=0.895 f1_macro=0.668  f1_weighted=0.891
Epoch 12  val_acc=0.901 f1_macro=0.678  f1_weighted=0.898
Epoch 13  val_acc=0.903 f1_macro=0.685  f1_weighted=0.900
Epoch 14  val_acc=0.906 f1_macro=0.687  f1_weighted=0.902
Epoch 15  val_acc=0.906 f1_macro=0.691  f1_weighted=0.903
