Epoch 01  val_acc=0.773 f1_macro=0.210  f1_weighted=0.729
Epoch 02  val_acc=0.800 f1_macro=0.315  f1_weighted=0.773
Epoch 03  val_acc=0.819 f1_macro=0.385  f1_weighted=0.799
Epoch 04  val_acc=0.840 f1_macro=0.477  f1_weighted=0.830
Epoch 05  val_acc=0.852 f1_macro=0.512  f1_weighted=0.843
Epoch 06  val_acc=0.860 f1_macro=0.531  f1_weighted=0.849
Epoch 07  val_acc=0.872 f1_macro=0.587  f1_weighted=0.867
Epoch 08  val_acc=0.880 f1_macro=0.611  f1_weighted=0.876
Epoch 09  val_acc=0.885 f1_macro=0.620  f1_weighted=0.881
Epoch 10  val_acc=0.894 f1_macro=0.652  f1_weighted=0.890
Epoch 11  val_acc=0.898 f1_macro=0.661  f1_weighted=0.894
Epoch 12  val_acc=0.900 f1_macro=0.665  f1_weighted=0.897
Epoch 13  val_acc=0.902 f1_macro=0.667  f1_weighted=0.898
Epoch 14  val_acc=0.905 f1_macro=0.671  f1_weighted=0.901
Epoch 15  val_acc=0.903 f1_macro=0.660  f1_weighted=0.899
