Epoch 01  val_acc=0.776 f1_macro=0.259  f1_weighted=0.749
Epoch 02  val_acc=0.809 f1_macro=0.358  f1_weighted=0.787
Epoch 03  val_acc=0.822 f1_macro=0.438  f1_weighted=0.810
Epoch 04  val_acc=0.832 f1_macro=0.471  f1_weighted=0.819
Epoch 05  val_acc=0.846 f1_macro=0.509  f1_weighted=0.834
Epoch 06  val_acc=0.855 f1_macro=0.562  f1_weighted=0.846
Epoch 07  val_acc=0.860 f1_macro=0.577  f1_weighted=0.855
Epoch 08  val_acc=0.875 f1_macro=0.624  f1_weighted=0.870
Epoch 09  val_acc=0.883 f1_macro=0.647  f1_weighted=0.879
Epoch 10  val_acc=0.892 f1_macro=0.661  f1_weighted=0.887
Epoch 11  val_acc=0.898 f1_macro=0.674  f1_weighted=0.895
Epoch 12  val_acc=0.900 f1_macro=0.671  f1_weighted=0.896
Epoch 13  val_acc=0.904 f1_macro=0.685  f1_weighted=0.901
Epoch 14  val_acc=0.906 f1_macro=0.688  f1_weighted=0.903
Epoch 15  val_acc=0.906 f1_macro=0.690  f1_weighted=0.903
