Epoch 01  val_acc=0.781 f1_macro=0.263  f1_weighted=0.743
Epoch 02  val_acc=0.809 f1_macro=0.366  f1_weighted=0.792
Epoch 03  val_acc=0.817 f1_macro=0.394  f1_weighted=0.795
Epoch 04  val_acc=0.833 f1_macro=0.449  f1_weighted=0.817
Epoch 05  val_acc=0.839 f1_macro=0.492  f1_weighted=0.833
Epoch 06  val_acc=0.849 f1_macro=0.547  f1_weighted=0.842
Epoch 07  val_acc=0.865 f1_macro=0.580  f1_weighted=0.859
Epoch 08  val_acc=0.877 f1_macro=0.609  f1_weighted=0.871
Epoch 09  val_acc=0.884 f1_macro=0.642  f1_weighted=0.880
Epoch 10  val_acc=0.887 f1_macro=0.654  f1_weighted=0.884
Epoch 11  val_acc=0.898 f1_macro=0.686  f1_weighted=0.895
Epoch 12  val_acc=0.901 f1_macro=0.691  f1_weighted=0.898
Epoch 13  val_acc=0.904 f1_macro=0.689  f1_weighted=0.901
Epoch 14  val_acc=0.906 f1_macro=0.700  f1_weighted=0.903
Epoch 15  val_acc=0.907 f1_macro=0.704  f1_weighted=0.904
