/home/yaxin/My_Files/ml_final/Chord-Classification/Models/Logistic/logistic.py:72: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Device: cuda:0
✅ Hyperparameters: lr=0.0002, batch_size=64, epochs=30
   C#:maj7/7       0.33      0.11      0.17         9
      C#:min       0.83      0.95      0.89       283
    C#:min/5       0.40      0.17      0.24        12
   C#:min/b3       0.00      0.00      0.00         6
     C#:min7       0.75      0.52      0.62        23
  C#:min7/b7       0.50      0.17      0.25         6
     C#:sus2       0.52      0.41      0.46        56
     C#:sus4       0.19      0.15      0.17        27
 C#:sus4(b7)       0.50      0.22      0.31         9
         C:7       0.00      0.00      0.00         3
       C:7/5       0.00      0.00      0.00         3
      C:7/b7       0.00      0.00      0.00         1
       C:aug       1.00      0.25      0.40         4
       C:dim       1.00      0.83      0.91         6
       C:maj       0.83      0.95      0.88       524
     C:maj/3       0.64      0.45      0.53        31
     C:maj/5       0.73      0.36      0.48        53
      C:maj6       0.50      0.17      0.25         6
      C:maj7       0.43      0.17      0.24        18
    C:maj7/3       1.00      0.25      0.40         4
    C:maj7/5       0.00      0.00      0.00         1
    C:maj7/7       0.50      0.38      0.43         8
       C:min       0.86      0.92      0.89       274
     C:min/5       0.88      0.50      0.64        14
    C:min/b3       0.33      0.09      0.14        22
      C:min7       0.62      0.54      0.58        28
    C:min7/5       0.00      0.00      0.00         4
   C:min7/b7       0.33      0.50      0.40         6
      C:sus2       0.56      0.54      0.55        84
      C:sus4       0.56      0.39      0.46        23
  C:sus4(b7)       0.43      0.38      0.40         8
         D:7       0.50      0.15      0.23        20
       D:7/3       0.00      0.00      0.00         1
       D:7/5       0.00      0.00      0.00         6
      D:7/b7       0.50      0.29      0.36         7
       D:aug       1.00      0.25      0.40         4
       D:dim       1.00      0.50      0.67         4
       D:maj       0.81      0.93      0.87       463
     D:maj/3       0.59      0.36      0.44        28
     D:maj/5       0.29      0.09      0.13        23
      D:maj6       0.00      0.00      0.00         4
      D:maj7       0.50      0.17      0.25         6
    D:maj7/5       0.00      0.00      0.00         1
    D:maj7/7       0.50      0.50      0.50         6
       D:min       0.80      0.92      0.86       313
     D:min/5       0.88      0.48      0.62        31
    D:min/b3       0.75      0.21      0.33        14
      D:min6       0.00      0.00      0.00         1
      D:min7       0.86      0.51      0.64        35
    D:min7/5       0.50      0.50      0.50         2
   D:min7/b7       0.50      0.17      0.25        12
      D:sus2       0.62      0.44      0.51        59
      D:sus4       0.36      0.16      0.22        25
  D:sus4(b7)       0.71      0.42      0.53        12
         E:7       0.67      0.29      0.40         7
       E:7/3       0.00      0.00      0.00         1
       E:7/5       0.00      0.00      0.00         1
      E:7/b7       0.00      0.00      0.00         1
       E:aug       0.00      0.00      0.00         1
       E:dim       1.00      0.50      0.67         6
     E:hdim7       0.00      0.00      0.00         3
       E:maj       0.86      0.94      0.90       460
     E:maj/3       0.78      0.54      0.64        26
     E:maj/5       0.50      0.27      0.35        15
      E:maj6       1.00      0.25      0.40         4
      E:maj7       0.33      0.17      0.22        12
    E:maj7/3       0.00      0.00      0.00         2
    E:maj7/5       1.00      1.00      1.00         1
    E:maj7/7       1.00      0.20      0.33         5
       E:min       0.86      0.96      0.90       348
     E:min/5       0.67      0.20      0.31        10
    E:min/b3       0.55      0.29      0.38        21
      E:min6       0.00      0.00      0.00         1
      E:min7       0.71      0.66      0.68        38
    E:min7/5       0.00      0.00      0.00         4
   E:min7/b7       0.00      0.00      0.00         6
      E:sus2       0.56      0.36      0.43        28
      E:sus4       0.53      0.31      0.39        26
  E:sus4(b7)       0.60      0.43      0.50         7
        Eb:7       0.50      0.62      0.56         8
      Eb:7/3       0.00      0.00      0.00         2
      Eb:7/5       0.00      0.00      0.00         1
     Eb:7/b7       0.00      0.00      0.00         3
      Eb:dim       1.00      0.50      0.67         2
    Eb:hdim7       0.00      0.00      0.00         1
      Eb:maj       0.84      0.95      0.89       453
    Eb:maj/3       0.70      0.52      0.59        31
    Eb:maj/5       0.80      0.16      0.27        25
     Eb:maj6       0.50      0.20      0.29         5
     Eb:maj7       0.67      0.55      0.60        11
   Eb:maj7/3       0.00      0.00      0.00         2
   Eb:maj7/5       0.00      0.00      0.00         1
   Eb:maj7/7       0.75      0.30      0.43        10
      Eb:min       0.84      0.95      0.89       218
    Eb:min/5       0.00      0.00      0.00         5
   Eb:min/b3       0.29      0.12      0.17        17
     Eb:min6       1.00      0.33      0.50         3
     Eb:min7       0.83      0.74      0.78        34
   Eb:min7/5       1.00      0.50      0.67         2
  Eb:min7/b7       0.00      0.00      0.00         7
     Eb:sus2       0.49      0.49      0.49        37
     Eb:sus4       0.52      0.41      0.46        27
 Eb:sus4(b7)       0.57      0.36      0.44        11
        F#:7       1.00      0.75      0.86         4
      F#:7/5       0.00      0.00      0.00         2
     F#:7/b7       0.00      0.00      0.00         4
      F#:aug       1.00      1.00      1.00         1
      F#:dim       0.60      0.60      0.60         5
    F#:hdim7       0.00      0.00      0.00         1
      F#:maj       0.84      0.95      0.89       404
    F#:maj/3       0.75      0.54      0.62        28
    F#:maj/5       1.00      0.12      0.22         8
     F#:maj6       0.00      0.00      0.00         5
     F#:maj7       0.30      0.33      0.32         9
   F#:maj7/3       0.00      0.00      0.00         1
   F#:maj7/5       1.00      0.75      0.86         4
   F#:maj7/7       0.00      0.00      0.00         6
      F#:min       0.90      0.99      0.94       287
    F#:min/5       0.67      0.25      0.36         8
   F#:min/b3       0.60      0.38      0.46        16
     F#:min7       0.69      0.61      0.65        18
  F#:min7/b7       0.00      0.00      0.00         3
     F#:sus2       0.56      0.21      0.31        43
     F#:sus4       0.15      0.14      0.15        14
 F#:sus4(b7)       0.67      0.50      0.57         8
         F:7       0.50      0.25      0.33         8
       F:7/3       1.00      0.50      0.67         2
       F:7/5       0.00      0.00      0.00         1
      F:7/b7       0.00      0.00      0.00         4
       F:dim       1.00      0.60      0.75         5
      F:dim7       0.00      0.00      0.00         1
     F:hdim7       0.00      0.00      0.00         2
       F:maj       0.83      0.93      0.88       528
     F:maj/3       0.64      0.44      0.52        16
     F:maj/5       0.57      0.29      0.38        14
      F:maj6       0.00      0.00      0.00        10
      F:maj7       0.50      0.15      0.23        20
    F:maj7/3       0.00      0.00      0.00         2
    F:maj7/5       0.00      0.00      0.00         3
    F:maj7/7       1.00      0.25      0.40         4
       F:min       0.79      0.96      0.87       277
     F:min/5       0.00      0.00      0.00         8
    F:min/b3       0.29      0.25      0.27         8
      F:min7       0.84      0.66      0.74        32
   F:min7/b7       0.00      0.00      0.00         7
      F:sus2       0.50      0.30      0.37        44
      F:sus4       0.40      0.22      0.29        18
  F:sus4(b7)       1.00      0.36      0.53        14
         G:7       1.00      0.25      0.40         4
       G:7/5       0.00      0.00      0.00         1
      G:7/b7       1.00      0.17      0.29         6
       G:dim       0.50      0.33      0.40         3
     G:hdim7       0.00      0.00      0.00         3
       G:maj       0.84      0.95      0.89       547
     G:maj/3       0.72      0.70      0.71        30
     G:maj/5       1.00      0.25      0.40        12
      G:maj6       0.50      0.50      0.50         4
      G:maj7       0.50      0.17      0.25        12
    G:maj7/3       0.00      0.00      0.00         1
    G:maj7/5       0.00      0.00      0.00         3
    G:maj7/7       0.75      0.43      0.55         7
       G:min       0.84      0.97      0.90       314
     G:min/5       0.00      0.00      0.00         3
    G:min/b3       1.00      0.39      0.56        18
      G:min7       0.61      0.46      0.52        24
    G:min7/5       0.00      0.00      0.00         1
   G:min7/b7       0.50      0.27      0.35        11
      G:sus2       0.52      0.33      0.41        48
      G:sus4       0.75      0.39      0.52        38
  G:sus4(b7)       0.54      0.47      0.50        15
           N       0.60      0.62      0.61       264

   micro avg       0.80      0.80      0.80     12292
   macro avg       0.51      0.33      0.38     12292
weighted avg       0.77      0.80      0.77     12292

Confusion Matrix:
[[  1   0   0 ...   0   0   0]
 [  0   1   0 ...   0   0   0]
 [  0   0   2 ...   0   0   0]
 ...
 [  0   0   0 ...  15   0   0]
 [  0   0   0 ...   0   7   0]
 [  0   0   0 ...   0   1 164]]
