/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.762 f1_macro=0.236  f1_weighted=0.725
Epoch 02  val_acc=0.803 f1_macro=0.328  f1_weighted=0.771
Epoch 03  val_acc=0.813 f1_macro=0.441  f1_weighted=0.803
Epoch 04  val_acc=0.839 f1_macro=0.512  f1_weighted=0.828
Epoch 05  val_acc=0.859 f1_macro=0.559  f1_weighted=0.850
Epoch 06  val_acc=0.868 f1_macro=0.624  f1_weighted=0.865
Epoch 07  val_acc=0.872 f1_macro=0.625  f1_weighted=0.869
Epoch 08  val_acc=0.884 f1_macro=0.655  f1_weighted=0.879
Epoch 09  val_acc=0.895 f1_macro=0.686  f1_weighted=0.893
Epoch 10  val_acc=0.896 f1_macro=0.686  f1_weighted=0.895
Epoch 11  val_acc=0.904 f1_macro=0.692  f1_weighted=0.902
Epoch 12  val_acc=0.906 f1_macro=0.700  f1_weighted=0.904
Epoch 13  val_acc=0.907 f1_macro=0.704  f1_weighted=0.905
Epoch 14  val_acc=0.908 f1_macro=0.707  f1_weighted=0.906
Epoch 15  val_acc=0.908 f1_macro=0.702  f1_weighted=0.905
