/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.785 f1_macro=0.339  f1_weighted=0.769
Epoch 02  val_acc=0.828 f1_macro=0.479  f1_weighted=0.816
Epoch 03  val_acc=0.848 f1_macro=0.546  f1_weighted=0.839
Epoch 04  val_acc=0.866 f1_macro=0.586  f1_weighted=0.860
Epoch 05  val_acc=0.874 f1_macro=0.629  f1_weighted=0.871
Epoch 06  val_acc=0.884 f1_macro=0.650  f1_weighted=0.881
Epoch 07  val_acc=0.898 f1_macro=0.685  f1_weighted=0.894
Epoch 08  val_acc=0.903 f1_macro=0.699  f1_weighted=0.900
Epoch 09  val_acc=0.908 f1_macro=0.707  f1_weighted=0.906
Epoch 10  val_acc=0.909 f1_macro=0.710  f1_weighted=0.906
Epoch 11  val_acc=0.911 f1_macro=0.716  f1_weighted=0.908
Epoch 12  val_acc=0.912 f1_macro=0.716  f1_weighted=0.909
Epoch 13  val_acc=0.912 f1_macro=0.715  f1_weighted=0.909
Epoch 14  val_acc=0.913 f1_macro=0.716  f1_weighted=0.910
Epoch 15  val_acc=0.912 f1_macro=0.712  f1_weighted=0.909
