/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.777 f1_macro=0.194  f1_weighted=0.730
Epoch 02  val_acc=0.812 f1_macro=0.328  f1_weighted=0.786
Epoch 03  val_acc=0.827 f1_macro=0.385  f1_weighted=0.808
Epoch 04  val_acc=0.846 f1_macro=0.472  f1_weighted=0.832
Epoch 05  val_acc=0.854 f1_macro=0.498  f1_weighted=0.840
Epoch 06  val_acc=0.861 f1_macro=0.536  f1_weighted=0.849
Epoch 07  val_acc=0.870 f1_macro=0.558  f1_weighted=0.859
Epoch 08  val_acc=0.879 f1_macro=0.602  f1_weighted=0.872
Epoch 09  val_acc=0.882 f1_macro=0.614  f1_weighted=0.874
Epoch 10  val_acc=0.884 f1_macro=0.620  f1_weighted=0.876
Epoch 11  val_acc=0.889 f1_macro=0.623  f1_weighted=0.882
Epoch 12  val_acc=0.892 f1_macro=0.643  f1_weighted=0.886
Epoch 13  val_acc=0.892 f1_macro=0.646  f1_weighted=0.886
Epoch 14  val_acc=0.893 f1_macro=0.651  f1_weighted=0.887
Epoch 15  val_acc=0.893 f1_macro=0.648  f1_weighted=0.887
