/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.791 f1_macro=0.330  f1_weighted=0.768
Epoch 02  val_acc=0.826 f1_macro=0.406  f1_weighted=0.811
Epoch 03  val_acc=0.844 f1_macro=0.510  f1_weighted=0.839
Epoch 04  val_acc=0.854 f1_macro=0.538  f1_weighted=0.846
Epoch 05  val_acc=0.864 f1_macro=0.590  f1_weighted=0.859
Epoch 06  val_acc=0.872 f1_macro=0.617  f1_weighted=0.870
Epoch 07  val_acc=0.888 f1_macro=0.659  f1_weighted=0.883
Epoch 08  val_acc=0.894 f1_macro=0.680  f1_weighted=0.891
Epoch 09  val_acc=0.900 f1_macro=0.677  f1_weighted=0.896
Epoch 10  val_acc=0.906 f1_macro=0.702  f1_weighted=0.903
Epoch 11  val_acc=0.910 f1_macro=0.695  f1_weighted=0.908
Epoch 12  val_acc=0.909 f1_macro=0.701  f1_weighted=0.907
Epoch 13  val_acc=0.912 f1_macro=0.703  f1_weighted=0.909
Epoch 14  val_acc=0.913 f1_macro=0.703  f1_weighted=0.911
Epoch 15  val_acc=0.913 f1_macro=0.703  f1_weighted=0.910
