/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.771 f1_macro=0.340  f1_weighted=0.760
Epoch 02  val_acc=0.816 f1_macro=0.449  f1_weighted=0.809
Epoch 03  val_acc=0.837 f1_macro=0.511  f1_weighted=0.832
Epoch 04  val_acc=0.854 f1_macro=0.578  f1_weighted=0.846
Epoch 05  val_acc=0.868 f1_macro=0.610  f1_weighted=0.865
Epoch 06  val_acc=0.882 f1_macro=0.644  f1_weighted=0.879
Epoch 07  val_acc=0.896 f1_macro=0.682  f1_weighted=0.893
Epoch 08  val_acc=0.903 f1_macro=0.705  f1_weighted=0.899
Epoch 09  val_acc=0.908 f1_macro=0.702  f1_weighted=0.904
Epoch 10  val_acc=0.910 f1_macro=0.710  f1_weighted=0.907
Epoch 11  val_acc=0.910 f1_macro=0.706  f1_weighted=0.906
Epoch 12  val_acc=0.911 f1_macro=0.706  f1_weighted=0.908
Epoch 13  val_acc=0.911 f1_macro=0.704  f1_weighted=0.908
Epoch 14  val_acc=0.912 f1_macro=0.709  f1_weighted=0.909
Epoch 15  val_acc=0.911 f1_macro=0.706  f1_weighted=0.908
