/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.812 f1_macro=0.334  f1_weighted=0.784
Epoch 02  val_acc=0.845 f1_macro=0.460  f1_weighted=0.831
Epoch 03  val_acc=0.858 f1_macro=0.547  f1_weighted=0.850
Epoch 04  val_acc=0.873 f1_macro=0.587  f1_weighted=0.864
Epoch 05  val_acc=0.877 f1_macro=0.613  f1_weighted=0.872
Epoch 06  val_acc=0.891 f1_macro=0.659  f1_weighted=0.889
Epoch 07  val_acc=0.898 f1_macro=0.677  f1_weighted=0.894
Epoch 08  val_acc=0.905 f1_macro=0.688  f1_weighted=0.902
Epoch 09  val_acc=0.907 f1_macro=0.699  f1_weighted=0.903
Epoch 10  val_acc=0.909 f1_macro=0.704  f1_weighted=0.906
Epoch 11  val_acc=0.910 f1_macro=0.712  f1_weighted=0.907
Epoch 12  val_acc=0.911 f1_macro=0.705  f1_weighted=0.908
Epoch 13  val_acc=0.911 f1_macro=0.700  f1_weighted=0.908
Epoch 14  val_acc=0.912 f1_macro=0.710  f1_weighted=0.909
Epoch 15  val_acc=0.912 f1_macro=0.699  f1_weighted=0.909
