/home/bw584/Chord-Classification/Models/CRNN/crnn_train.py:130: UserWarning: Rare classes (<2) – random split applied.
  warnings.warn("Rare classes (<2) – random split applied.")
Epoch 01  val_acc=0.781 f1_macro=0.295  f1_weighted=0.760
Epoch 02  val_acc=0.808 f1_macro=0.411  f1_weighted=0.789
Epoch 03  val_acc=0.836 f1_macro=0.490  f1_weighted=0.824
Epoch 04  val_acc=0.850 f1_macro=0.533  f1_weighted=0.843
Epoch 05  val_acc=0.861 f1_macro=0.575  f1_weighted=0.853
Epoch 06  val_acc=0.854 f1_macro=0.592  f1_weighted=0.853
Epoch 07  val_acc=0.875 f1_macro=0.622  f1_weighted=0.872
Epoch 08  val_acc=0.886 f1_macro=0.655  f1_weighted=0.880
Epoch 09  val_acc=0.895 f1_macro=0.680  f1_weighted=0.891
Epoch 10  val_acc=0.899 f1_macro=0.691  f1_weighted=0.895
Epoch 11  val_acc=0.903 f1_macro=0.702  f1_weighted=0.900
Epoch 12  val_acc=0.905 f1_macro=0.699  f1_weighted=0.902
Epoch 13  val_acc=0.906 f1_macro=0.698  f1_weighted=0.903
Epoch 14  val_acc=0.908 f1_macro=0.706  f1_weighted=0.905
Epoch 15  val_acc=0.908 f1_macro=0.707  f1_weighted=0.905
