/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.779 f1_macro=0.297  f1_weighted=0.751
Epoch 02  val_acc=0.790 f1_macro=0.364  f1_weighted=0.772
Epoch 03  val_acc=0.804 f1_macro=0.425  f1_weighted=0.786
Epoch 04  val_acc=0.816 f1_macro=0.444  f1_weighted=0.798
Epoch 05  val_acc=0.824 f1_macro=0.481  f1_weighted=0.813
Epoch 06  val_acc=0.830 f1_macro=0.507  f1_weighted=0.821
Epoch 07  val_acc=0.839 f1_macro=0.531  f1_weighted=0.833
Epoch 08  val_acc=0.845 f1_macro=0.540  f1_weighted=0.835
Epoch 09  val_acc=0.853 f1_macro=0.558  f1_weighted=0.847
Epoch 10  val_acc=0.862 f1_macro=0.579  f1_weighted=0.854
Epoch 11  val_acc=0.867 f1_macro=0.605  f1_weighted=0.862
Epoch 12  val_acc=0.870 f1_macro=0.611  f1_weighted=0.864
Epoch 13  val_acc=0.875 f1_macro=0.618  f1_weighted=0.868
Epoch 14  val_acc=0.874 f1_macro=0.624  f1_weighted=0.868
Epoch 15  val_acc=0.876 f1_macro=0.631  f1_weighted=0.870
