/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.759 f1_macro=0.219  f1_weighted=0.717
Epoch 02  val_acc=0.769 f1_macro=0.279  f1_weighted=0.738
Epoch 03  val_acc=0.791 f1_macro=0.358  f1_weighted=0.771
Epoch 04  val_acc=0.815 f1_macro=0.427  f1_weighted=0.795
Epoch 05  val_acc=0.796 f1_macro=0.403  f1_weighted=0.785
Epoch 06  val_acc=0.827 f1_macro=0.449  f1_weighted=0.812
Epoch 07  val_acc=0.826 f1_macro=0.489  f1_weighted=0.817
Epoch 08  val_acc=0.836 f1_macro=0.506  f1_weighted=0.827
Epoch 09  val_acc=0.845 f1_macro=0.529  f1_weighted=0.833
Epoch 10  val_acc=0.846 f1_macro=0.541  f1_weighted=0.838
Epoch 11  val_acc=0.854 f1_macro=0.553  f1_weighted=0.845
Epoch 12  val_acc=0.855 f1_macro=0.544  f1_weighted=0.845
Epoch 13  val_acc=0.858 f1_macro=0.569  f1_weighted=0.849
Epoch 14  val_acc=0.860 f1_macro=0.570  f1_weighted=0.852
Epoch 15  val_acc=0.862 f1_macro=0.579  f1_weighted=0.853
