/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.730 f1_macro=0.152  f1_weighted=0.675
Epoch 02  val_acc=0.775 f1_macro=0.267  f1_weighted=0.743
Epoch 03  val_acc=0.789 f1_macro=0.334  f1_weighted=0.763
Epoch 04  val_acc=0.798 f1_macro=0.369  f1_weighted=0.775
Epoch 05  val_acc=0.812 f1_macro=0.401  f1_weighted=0.792
Epoch 06  val_acc=0.815 f1_macro=0.427  f1_weighted=0.799
Epoch 07  val_acc=0.821 f1_macro=0.438  f1_weighted=0.806
Epoch 08  val_acc=0.831 f1_macro=0.469  f1_weighted=0.816
Epoch 09  val_acc=0.833 f1_macro=0.474  f1_weighted=0.820
Epoch 10  val_acc=0.835 f1_macro=0.504  f1_weighted=0.824
Epoch 11  val_acc=0.838 f1_macro=0.505  f1_weighted=0.826
Epoch 12  val_acc=0.841 f1_macro=0.506  f1_weighted=0.830
Epoch 13  val_acc=0.844 f1_macro=0.521  f1_weighted=0.832
Epoch 14  val_acc=0.848 f1_macro=0.533  f1_weighted=0.837
Epoch 15  val_acc=0.847 f1_macro=0.535  f1_weighted=0.837
