/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.602 f1_macro=0.095  f1_weighted=0.562
Epoch 02  val_acc=0.674 f1_macro=0.129  f1_weighted=0.625
Epoch 03  val_acc=0.684 f1_macro=0.164  f1_weighted=0.641
Epoch 04  val_acc=0.739 f1_macro=0.233  f1_weighted=0.708
Epoch 05  val_acc=0.754 f1_macro=0.247  f1_weighted=0.718
Epoch 06  val_acc=0.760 f1_macro=0.286  f1_weighted=0.736
Epoch 07  val_acc=0.760 f1_macro=0.305  f1_weighted=0.744
Epoch 08  val_acc=0.788 f1_macro=0.352  f1_weighted=0.764
Epoch 09  val_acc=0.795 f1_macro=0.390  f1_weighted=0.772
Epoch 10  val_acc=0.813 f1_macro=0.432  f1_weighted=0.798
Epoch 11  val_acc=0.823 f1_macro=0.462  f1_weighted=0.808
Epoch 12  val_acc=0.830 f1_macro=0.475  f1_weighted=0.818
Epoch 13  val_acc=0.835 f1_macro=0.495  f1_weighted=0.822
Epoch 14  val_acc=0.839 f1_macro=0.516  f1_weighted=0.829
Epoch 15  val_acc=0.842 f1_macro=0.523  f1_weighted=0.832
