/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.701 f1_macro=0.074  f1_weighted=0.608
Epoch 02  val_acc=0.735 f1_macro=0.118  f1_weighted=0.663
Epoch 03  val_acc=0.763 f1_macro=0.186  f1_weighted=0.711
Epoch 04  val_acc=0.774 f1_macro=0.224  f1_weighted=0.729
Epoch 05  val_acc=0.785 f1_macro=0.262  f1_weighted=0.748
Epoch 06  val_acc=0.793 f1_macro=0.293  f1_weighted=0.760
Epoch 07  val_acc=0.799 f1_macro=0.318  f1_weighted=0.770
Epoch 08  val_acc=0.804 f1_macro=0.336  f1_weighted=0.777
Epoch 09  val_acc=0.806 f1_macro=0.340  f1_weighted=0.780
Epoch 10  val_acc=0.810 f1_macro=0.355  f1_weighted=0.785
Epoch 11  val_acc=0.811 f1_macro=0.357  f1_weighted=0.786
Epoch 12  val_acc=0.813 f1_macro=0.365  f1_weighted=0.791
Epoch 13  val_acc=0.814 f1_macro=0.371  f1_weighted=0.790
Epoch 14  val_acc=0.814 f1_macro=0.371  f1_weighted=0.790
Epoch 15  val_acc=0.816 f1_macro=0.375  f1_weighted=0.792
