/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.781 f1_macro=0.311  f1_weighted=0.751
Epoch 02  val_acc=0.767 f1_macro=0.326  f1_weighted=0.750
Epoch 03  val_acc=0.800 f1_macro=0.410  f1_weighted=0.788
Epoch 04  val_acc=0.811 f1_macro=0.425  f1_weighted=0.795
Epoch 05  val_acc=0.827 f1_macro=0.467  f1_weighted=0.815
Epoch 06  val_acc=0.837 f1_macro=0.495  f1_weighted=0.826
Epoch 07  val_acc=0.842 f1_macro=0.536  f1_weighted=0.836
Epoch 08  val_acc=0.846 f1_macro=0.531  f1_weighted=0.836
Epoch 09  val_acc=0.855 f1_macro=0.581  f1_weighted=0.849
Epoch 10  val_acc=0.870 f1_macro=0.620  f1_weighted=0.863
Epoch 11  val_acc=0.872 f1_macro=0.607  f1_weighted=0.866
Epoch 12  val_acc=0.877 f1_macro=0.624  f1_weighted=0.872
Epoch 13  val_acc=0.883 f1_macro=0.637  f1_weighted=0.878
Epoch 14  val_acc=0.883 f1_macro=0.629  f1_weighted=0.877
Epoch 15  val_acc=0.887 f1_macro=0.642  f1_weighted=0.881
