/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.702 f1_macro=0.189  f1_weighted=0.679
Epoch 02  val_acc=0.773 f1_macro=0.274  f1_weighted=0.739
Epoch 03  val_acc=0.754 f1_macro=0.286  f1_weighted=0.732
Epoch 04  val_acc=0.787 f1_macro=0.404  f1_weighted=0.776
Epoch 05  val_acc=0.806 f1_macro=0.415  f1_weighted=0.790
Epoch 06  val_acc=0.792 f1_macro=0.397  f1_weighted=0.779
Epoch 07  val_acc=0.813 f1_macro=0.460  f1_weighted=0.801
Epoch 08  val_acc=0.818 f1_macro=0.484  f1_weighted=0.809
Epoch 09  val_acc=0.837 f1_macro=0.507  f1_weighted=0.823
Epoch 10  val_acc=0.835 f1_macro=0.525  f1_weighted=0.827
Epoch 11  val_acc=0.850 f1_macro=0.548  f1_weighted=0.839
Epoch 12  val_acc=0.852 f1_macro=0.556  f1_weighted=0.843
Epoch 13  val_acc=0.856 f1_macro=0.568  f1_weighted=0.848
Epoch 14  val_acc=0.859 f1_macro=0.578  f1_weighted=0.851
Epoch 15  val_acc=0.861 f1_macro=0.582  f1_weighted=0.853
