/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.671 f1_macro=0.088  f1_weighted=0.604
Epoch 02  val_acc=0.610 f1_macro=0.111  f1_weighted=0.599
Epoch 03  val_acc=0.707 f1_macro=0.191  f1_weighted=0.670
Epoch 04  val_acc=0.751 f1_macro=0.270  f1_weighted=0.730
Epoch 05  val_acc=0.707 f1_macro=0.218  f1_weighted=0.671
Epoch 06  val_acc=0.749 f1_macro=0.289  f1_weighted=0.730
Epoch 07  val_acc=0.772 f1_macro=0.341  f1_weighted=0.757
Epoch 08  val_acc=0.801 f1_macro=0.410  f1_weighted=0.793
Epoch 09  val_acc=0.800 f1_macro=0.424  f1_weighted=0.791
Epoch 10  val_acc=0.820 f1_macro=0.456  f1_weighted=0.802
Epoch 11  val_acc=0.828 f1_macro=0.482  f1_weighted=0.816
Epoch 12  val_acc=0.839 f1_macro=0.514  f1_weighted=0.828
Epoch 13  val_acc=0.843 f1_macro=0.535  f1_weighted=0.835
Epoch 14  val_acc=0.853 f1_macro=0.564  f1_weighted=0.845
Epoch 15  val_acc=0.855 f1_macro=0.578  f1_weighted=0.847
