/home/bw584/Chord-Classification/Models/RNN/rnn_train.py:125: UserWarning: Rare classes (<2 samples) – random split used.
  warnings.warn("Rare classes (<2 samples) – random split used.")
Epoch 01  val_acc=0.751 f1_macro=0.282  f1_weighted=0.730
Epoch 02  val_acc=0.772 f1_macro=0.318  f1_weighted=0.749
Epoch 03  val_acc=0.788 f1_macro=0.355  f1_weighted=0.767
Epoch 04  val_acc=0.790 f1_macro=0.404  f1_weighted=0.778
Epoch 05  val_acc=0.811 f1_macro=0.454  f1_weighted=0.802
Epoch 06  val_acc=0.815 f1_macro=0.477  f1_weighted=0.805
Epoch 07  val_acc=0.843 f1_macro=0.553  f1_weighted=0.836
Epoch 08  val_acc=0.837 f1_macro=0.546  f1_weighted=0.830
Epoch 09  val_acc=0.856 f1_macro=0.570  f1_weighted=0.850
Epoch 10  val_acc=0.858 f1_macro=0.600  f1_weighted=0.854
Epoch 11  val_acc=0.871 f1_macro=0.624  f1_weighted=0.867
Epoch 12  val_acc=0.878 f1_macro=0.641  f1_weighted=0.873
Epoch 13  val_acc=0.880 f1_macro=0.645  f1_weighted=0.875
Epoch 14  val_acc=0.884 f1_macro=0.654  f1_weighted=0.878
Epoch 15  val_acc=0.884 f1_macro=0.661  f1_weighted=0.879
