/home/yaxin/My_Files/ml_final/Chord-Classification/Models/MLP/mlp.py:70: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Using cuda | hidden=[512, 256] | lr=0.001 | batch_size=128 | epochs=30
✅ Usable samples: 122912
✅ Feature shape: (122912, 128) | Classes: 320
Epoch 01/30 | Loss: 1079.1090
Epoch 02/30 | Loss: 639.5514
Epoch 03/30 | Loss: 537.4952
Epoch 04/30 | Loss: 464.5348
Epoch 05/30 | Loss: 405.9929
Epoch 06/30 | Loss: 355.8047
Epoch 07/30 | Loss: 311.1718
Epoch 08/30 | Loss: 273.6796
Epoch 09/30 | Loss: 239.0305
Epoch 10/30 | Loss: 211.8926
Epoch 11/30 | Loss: 185.7943
Epoch 12/30 | Loss: 164.2920
Epoch 13/30 | Loss: 146.0039
Epoch 14/30 | Loss: 128.8640
Epoch 15/30 | Loss: 115.6110
Epoch 16/30 | Loss: 104.2595
Epoch 17/30 | Loss: 96.6354
Epoch 18/30 | Loss: 90.8808
Epoch 19/30 | Loss: 82.2951
Epoch 20/30 | Loss: 78.8161
Epoch 21/30 | Loss: 71.3153
Epoch 22/30 | Loss: 76.5451
Epoch 23/30 | Loss: 63.4058
Epoch 24/30 | Loss: 65.2372
Epoch 25/30 | Loss: 59.9442
Epoch 26/30 | Loss: 60.0496
Epoch 27/30 | Loss: 59.6347
Epoch 28/30 | Loss: 55.2863
Epoch 29/30 | Loss: 55.5127
Epoch 30/30 | Loss: 52.6458

✅ Accuracy: 0.862 | Macro F1-score: 0.604

Classification Report:
              precision    recall  f1-score   support

           0       1.00      0.70      0.82        10
           1       0.25      0.25      0.25         4
           2       1.00      0.67      0.80         3
           3       0.80      0.80      0.80         5
           4       0.00      0.00      0.00         1
           5       1.00      0.25      0.40         4
           7       1.00      1.00      1.00         1
           8       0.92      0.96      0.94       493
           9       0.75      0.95      0.84        19
          10       0.83      0.71      0.77         7
          11       0.60      0.75      0.67         4
          12       1.00      0.44      0.62        18
          13       1.00      1.00      1.00         1
          14       0.00      0.00      0.00         1
