/home/yaxin/My_Files/ml_final/Chord-Classification/Models/MLP/mlp.py:70: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Using cuda | hidden=[512, 256] | lr=0.0002 | batch_size=64 | epochs=20
✅ Usable samples: 122912
✅ Feature shape: (122912, 128) | Classes: 320
Epoch 01/20 | Loss: 2820.1059
Epoch 02/20 | Loss: 1585.2444
Epoch 03/20 | Loss: 1343.5032
Epoch 04/20 | Loss: 1207.7320
Epoch 05/20 | Loss: 1115.2643
Epoch 06/20 | Loss: 1039.4475
Epoch 07/20 | Loss: 976.1579
Epoch 08/20 | Loss: 919.3472
Epoch 09/20 | Loss: 868.5773
Epoch 10/20 | Loss: 821.0711
Epoch 11/20 | Loss: 777.6595
Epoch 12/20 | Loss: 737.1757
Epoch 13/20 | Loss: 698.2593
Epoch 14/20 | Loss: 663.0076
Epoch 15/20 | Loss: 627.0736
Epoch 16/20 | Loss: 595.7024
Epoch 17/20 | Loss: 562.9455
Epoch 18/20 | Loss: 533.9178
Epoch 19/20 | Loss: 504.2857
Epoch 20/20 | Loss: 478.7965

✅ Accuracy: 0.858 | Macro F1-score: 0.571

Classification Report:
              precision    recall  f1-score   support

           0       0.86      0.60      0.71        10
           1       1.00      0.25      0.40         4
           2       1.00      0.67      0.80         3
           3       1.00      0.80      0.89         5
           4       0.00      0.00      0.00         1
           5       0.67      0.50      0.57         4
           7       0.00      0.00      0.00         1
           8       0.94      0.95      0.95       493
           9       0.68      0.79      0.73        19
          10       0.67      0.86      0.75         7
          11       0.67      0.50      0.57         4
          12       0.80      0.67      0.73        18
          13       1.00      1.00      1.00         1
          14       0.00      0.00      0.00         1
          15       0.60      0.75      0.67         4
          16       0.92      0.96      0.94       397
          17       0.75      0.81      0.78        26
          18       0.83      0.62      0.71         8
          20       0.80      0.71      0.75        34
          22       0.82      0.43      0.56        21
          24       0.68      0.49      0.57        47
          25       0.53      0.62      0.57        13
          26       0.11      0.17      0.13         6
          27       0.67      0.50      0.57         4
          28       0.00      0.00      0.00         1
          29       1.00      0.50      0.67         2
          30       0.33      0.25      0.29         4
          32       0.67      0.40      0.50         5
          33       0.67      0.67      0.67         3
          34       1.00      1.00      1.00         1
          35       0.90      0.94      0.92       450
          36       0.87      0.76      0.81        17
          37       0.75      0.50      0.60         6
          38       0.57      0.44      0.50         9
          39       0.82      0.56      0.67        16
          41       0.50      1.00      0.67         1
          42       1.00      0.36      0.53        11
          43       0.85      0.95      0.90       259
          44       1.00      0.33      0.50         6
          45       0.75      0.50      0.60        12
          46       1.00      1.00      1.00         1
          47       0.79      0.73      0.76        26
          48       1.00      1.00      1.00         2
          49       0.80      0.31      0.44        13
          50       0.00      0.00      0.00         1
          51       0.64      0.64      0.64        42
          52       0.61      0.61      0.61        28
          53       0.46      0.67      0.55         9
          54       0.67      0.50      0.57         4
          56       0.50      0.50      0.50         2
          57       0.50      0.75      0.60         4
          59       0.75      0.82      0.78        11
          60       1.00      1.00      1.00         2
          61       0.89      0.95      0.92       351
          62       0.71      0.92      0.80        13
          63       0.84      0.70      0.76        23
          64       1.00      0.25      0.40         4
          65       0.56      0.45      0.50        11
          67       1.00      0.50      0.67         2
          68       0.83      0.50      0.62        20
          69       0.91      0.96      0.93       298
          70       0.83      0.62      0.71         8
          71       0.00      0.00      0.00         1
          73       0.81      0.76      0.78        62
          74       0.00      0.00      0.00         1
          75       0.71      0.36      0.48        14
          76       0.68      0.62      0.65        45
          77       0.59      0.65      0.62        20
          78       0.50      0.17      0.25         6
          79       0.75      0.50      0.60         6
          82       1.00      0.67      0.80         3
          84       1.00      1.00      1.00         3
          85       1.00      1.00      1.00         2
          86       0.88      0.95      0.91       457
          87       0.77      0.62      0.69        16
          88       1.00      0.40      0.57        20
          89       0.75      0.27      0.40        11
          90       1.00      0.27      0.42        15
