/home/yaxin/My_Files/ml_final/Chord-Classification/Models/MLP/mlp.py:70: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Using cuda | hidden=[512, 256] | lr=0.0002 | batch_size=32 | epochs=30
✅ Usable samples: 122912
✅ Feature shape: (122912, 128) | Classes: 320
Epoch 01/30 | Loss: 4968.3141
         134       1.00      0.33      0.50         3
         135       0.25      1.00      0.40         1
         136       1.00      0.50      0.67         4
         137       1.00      0.83      0.91         6
         138       0.00      0.00      0.00         0
         140       0.93      0.92      0.92       524
         141       0.61      0.65      0.62        31
         142       0.68      0.68      0.68        53
         143       0.80      0.67      0.73         6
         144       0.58      0.39      0.47        18
         145       0.67      1.00      0.80         4
         146       0.00      0.00      0.00         1
         147       0.67      1.00      0.80         8
         148       0.90      0.96      0.93       274
         149       0.65      0.79      0.71        14
         150       0.67      0.27      0.39        22
         152       0.81      0.75      0.78        28
         153       0.67      0.50      0.57         4
         154       0.43      0.50      0.46         6
         156       0.84      0.62      0.71        84
         157       0.65      0.65      0.65        23
         158       0.62      0.62      0.62         8
         159       0.80      0.80      0.80        20
         160       0.00      0.00      0.00         1
         161       1.00      0.17      0.29         6
         162       0.67      0.57      0.62         7
         163       1.00      1.00      1.00         4
         164       1.00      1.00      1.00         4
         165       0.00      0.00      0.00         0
         167       0.92      0.93      0.93       463
         168       0.75      0.54      0.62        28
         169       0.48      0.52      0.50        23
         170       0.00      0.00      0.00         4
         171       1.00      0.33      0.50         6
         173       0.00      0.00      0.00         1
         174       0.75      1.00      0.86         6
         175       0.93      0.96      0.94       313
         176       1.00      0.87      0.93        31
         177       0.54      0.50      0.52        14
         178       1.00      1.00      1.00         1
         179       0.96      0.74      0.84        35
         180       1.00      0.50      0.67         2
         181       0.78      0.58      0.67        12
         182       0.68      0.66      0.67        59
         183       0.67      0.72      0.69        25
         184       0.70      0.58      0.64        12
         185       1.00      0.86      0.92         7
         186       1.00      1.00      1.00         1
         187       1.00      1.00      1.00         1
         188       0.00      0.00      0.00         1
         189       1.00      1.00      1.00         1
         190       0.83      0.83      0.83         6
         191       0.00      0.00      0.00         0
         192       1.00      0.33      0.50         3
         193       0.93      0.93      0.93       460
         194       0.90      0.73      0.81        26
         195       0.32      0.40      0.35        15
         196       1.00      0.50      0.67         4
         197       0.75      0.50      0.60        12
         198       1.00      0.50      0.67         2
         199       1.00      1.00      1.00         1
         200       1.00      0.60      0.75         5
         201       0.93      0.95      0.94       348
         202       0.71      0.50      0.59        10
         203       0.71      0.57      0.63        21
         204       1.00      1.00      1.00         1
         205       0.76      0.74      0.75        38
         206       1.00      1.00      1.00         4
         207       0.50      0.33      0.40         6
         209       0.54      0.79      0.64        28
         210       0.65      0.58      0.61        26
         211       0.60      0.86      0.71         7
         212       0.89      1.00      0.94         8
         213       1.00      1.00      1.00         2
         214       0.00      0.00      0.00         1
         215       1.00      0.67      0.80         3
         216       0.00      0.00      0.00         0
         217       0.50      1.00      0.67         2
         219       0.00      0.00      0.00         1
         220       0.95      0.95      0.95       453
         221       0.77      0.65      0.70        31
         222       0.69      0.72      0.71        25
         223       0.50      0.20      0.29         5
         224       0.53      0.73      0.62        11
         225       0.67      1.00      0.80         2
         226       1.00      1.00      1.00         1
         227       0.80      0.80      0.80        10
         228       0.93      0.95      0.94       218
         229       0.67      0.80      0.73         5
         230       0.86      0.35      0.50        17
         231       1.00      0.33      0.50         3
         232       0.84      0.91      0.87        34
         233       0.00      0.00      0.00         2
         234       0.67      0.57      0.62         7
         236       0.76      0.70      0.73        37
         237       0.77      0.74      0.75        27
         238       0.70      0.64      0.67        11
         239       0.67      1.00      0.80         4
         241       1.00      0.50      0.67         2
         242       1.00      0.50      0.67         4
         243       1.00      1.00      1.00         1
         244       1.00      1.00      1.00         5
         246       1.00      1.00      1.00         1
         247       0.89      0.96      0.92       404
         248       0.85      0.79      0.81        28
         249       1.00      0.38      0.55         8
         250       0.33      0.20      0.25         5
         251       0.40      0.44      0.42         9
         252       0.00      0.00      0.00         1
         253       0.80      1.00      0.89         4
         254       1.00      0.33      0.50         6
         255       0.91      0.97      0.94       287
         256       0.67      0.50      0.57         8
         257       0.93      0.88      0.90        16
         259       0.78      0.78      0.78        18
         261       0.33      0.33      0.33         3
         263       0.83      0.58      0.68        43
         264       0.33      0.36      0.34        14
         265       1.00      0.62      0.77         8
         266       0.56      0.62      0.59         8
         267       1.00      0.50      0.67         2
         268       0.00      0.00      0.00         1
         269       0.00      0.00      0.00         4
         271       1.00      0.80      0.89         5
         272       0.00      0.00      0.00         1
         273       1.00      0.50      0.67         2
         274       0.93      0.93      0.93       528
         275       0.62      0.81      0.70        16
         276       0.71      0.71      0.71        14
         277       0.60      0.60      0.60        10
         278       0.73      0.55      0.63        20
         279       0.00      0.00      0.00         2
         280       0.67      0.67      0.67         3
         281       1.00      0.75      0.86         4
         282       0.92      0.92      0.92       277
         283       0.71      0.62      0.67         8
         284       0.50      0.62      0.56         8
         286       0.79      0.72      0.75        32
         287       0.00      0.00      0.00         0
         288       1.00      0.29      0.44         7
         290       0.65      0.77      0.71        44
         291       0.46      0.61      0.52        18
         292       1.00      0.50      0.67        14
         293       0.60      0.75      0.67         4
         295       0.00      0.00      0.00         1
         296       1.00      0.83      0.91         6
         298       0.67      0.67      0.67         3
         299       0.00      0.00      0.00         0
         300       0.00      0.00      0.00         3
         301       0.93      0.93      0.93       547
         302       0.78      0.83      0.81        30
         303       0.67      0.50      0.57        12
         304       0.40      1.00      0.57         4
         305       0.62      0.67      0.64        12
         306       0.50      1.00      0.67         1
         307       0.67      0.67      0.67         3
         308       0.57      0.57      0.57         7
         309       0.95      0.95      0.95       314
         310       0.67      0.67      0.67         3
         311       0.67      0.56      0.61        18
         312       0.72      0.88      0.79        24
         313       0.00      0.00      0.00         1
         314       0.46      0.55      0.50        11
         316       0.53      0.75      0.62        48
         317       0.69      0.66      0.68        38
         318       0.55      0.73      0.63        15
         319       0.67      0.76      0.71       264

    accuracy                           0.87     12292
   macro avg       0.68      0.61      0.63     12292
weighted avg       0.87      0.87      0.87     12292

Confusion Matrix:
[[  7   0   0 ...   0   0   0]
 [  0   1   0 ...   0   0   0]
 [  0   0   2 ...   0   0   0]
 ...
 [  0   0   0 ...  25   2   0]
 [  0   0   0 ...   1  11   0]
 [  0   0   0 ...   0   3 201]]
