/home/yaxin/My_Files/ml_final/Chord-Classification/Models/MLP/mlp.py:70: UserWarning: Some classes occur only once — using random split.
  warnings.warn("Some classes occur only once — using random split.")
✅ Using cuda | hidden=[512, 256, 128] | lr=0.001 | batch_size=64 | epochs=10
✅ Usable samples: 122912
✅ Feature shape: (122912, 128) | Classes: 320
Epoch 01/10 | Loss: 2124.2179
Epoch 02/10 | Loss: 1331.5169
Epoch 03/10 | Loss: 1138.8040
Epoch 04/10 | Loss: 993.3495
Epoch 05/10 | Loss: 883.0520
Epoch 06/10 | Loss: 784.7893
Epoch 07/10 | Loss: 702.2679
Epoch 08/10 | Loss: 630.9321
Epoch 09/10 | Loss: 566.7477
Epoch 10/10 | Loss: 518.4643

✅ Accuracy: 0.848 | Macro F1-score: 0.543

Classification Report:
              precision    recall  f1-score   support

           0       0.78      0.70      0.74        10
           1       1.00      0.25      0.40         4
           2       0.50      0.33      0.40         3
           3       1.00      0.80      0.89         5
           4       0.00      0.00      0.00         1
           5       0.50      0.50      0.50         4
           7       0.33      1.00      0.50         1
           8       0.90      0.94      0.92       493
           9       0.76      0.84      0.80        19
          10       0.33      0.86      0.48         7
          11       0.00      0.00      0.00         4
          12       0.69      0.50      0.58        18
          13       0.50      1.00      0.67         1
          14       0.00      0.00      0.00         1
          15       0.60      0.75      0.67         4
          16       0.92      0.95      0.94       397
          17       0.82      0.88      0.85        26
          18       1.00      0.50      0.67         8
          20       0.71      0.71      0.71        34
          22       0.69      0.43      0.53        21
          24       0.69      0.38      0.49        47
          25       0.64      0.54      0.58        13
          26       0.50      0.50      0.50         6
          27       1.00      0.25      0.40         4
          28       0.00      0.00      0.00         1
          29       0.50      0.50      0.50         2
          30       0.75      0.75      0.75         4
          32       1.00      0.60      0.75         5
          33       0.50      0.33      0.40         3
          34       0.00      0.00      0.00         1
          35       0.91      0.93      0.92       450
          36       1.00      0.88      0.94        17
          37       0.71      0.83      0.77         6
          38       0.71      0.56      0.62         9
          39       0.69      0.56      0.62        16
          40       0.00      0.00      0.00         0
          41       1.00      1.00      1.00         1
          42       0.83      0.45      0.59        11
          43       0.86      0.97      0.91       259
          44       0.57      0.67      0.62         6
          45       0.80      0.67      0.73        12
          46       0.00      0.00      0.00         1
          47       0.83      0.58      0.68        26
          48       1.00      0.50      0.67         2
          49       1.00      0.54      0.70        13
          50       0.00      0.00      0.00         1
          51       0.60      0.50      0.55        42
          52       0.59      0.57      0.58        28
          53       0.29      0.44      0.35         9
          54       0.50      0.50      0.50         4
          56       0.00      0.00      0.00         2
          57       0.67      0.50      0.57         4
          59       0.80      0.73      0.76        11
          60       0.67      1.00      0.80         2
          61       0.88      0.94      0.91       351
          62       0.80      0.92      0.86        13
          63       0.87      0.87      0.87        23
          64       1.00      0.50      0.67         4
          65       0.50      0.18      0.27        11
          66       0.00      0.00      0.00         0
          67       1.00      0.50      0.67         2
          68       0.93      0.70      0.80        20
          69       0.91      0.96      0.94       298
          70       0.67      0.75      0.71         8
          71       1.00      1.00      1.00         1
          73       0.95      0.61      0.75        62
          74       0.00      0.00      0.00         1
          75       0.75      0.43      0.55        14
          76       0.76      0.56      0.64        45
          77       0.57      0.65      0.60        20
          78       0.67      0.33      0.44         6
          79       0.57      0.67      0.62         6
          82       1.00      0.67      0.80         3
          83       0.00      0.00      0.00         0
          84       1.00      1.00      1.00         3
          85       1.00      1.00      1.00         2
          86       0.92      0.90      0.91       457
          87       0.52      0.69      0.59        16
          88       0.67      0.50      0.57        20
          89       0.30      0.55      0.39        11
          90       0.88      0.47      0.61        15
          91       0.00      0.00      0.00         2
          92       0.50      0.33      0.40         3
          93       0.30      0.60      0.40         5
          94       0.91      0.94      0.92       298
          95       0.50      0.75      0.60         4
          96       1.00      1.00      1.00         1
          98       0.79      0.74      0.77        42
         100       0.17      0.12      0.14         8
         102       0.82      0.63      0.71        43
         103       0.74      0.50      0.60        28
         104       0.70      0.54      0.61        13
         105       1.00      0.60      0.75         5
         106       0.00      0.00      0.00         1
         107       1.00      0.33      0.50         6
         108       1.00      0.80      0.89         5
         109       1.00      0.50      0.67         2
         110       0.75      1.00      0.86         3
         111       0.75      0.75      0.75         4
         112       0.00      0.00      0.00         2
         113       0.90      0.89      0.90       404
         114       0.45      0.94      0.61        18
         115       0.62      0.30      0.40        27
         116       0.33      0.50      0.40         4
         117       0.50      0.38      0.43         8
