/home/bw584/Chord-Classification/Models/LSTM/lstm_train.py:97: UserWarning: Rare classes (<2) — random split used.
  warnings.warn("Rare classes (<2) — random split used.")
Epoch 01  val_acc=0.764  f1_macro=0.201  f1_weighted=0.717
Epoch 02  val_acc=0.794  f1_macro=0.297  f1_weighted=0.761
Epoch 03  val_acc=0.818  f1_macro=0.379  f1_weighted=0.793
Epoch 04  val_acc=0.831  f1_macro=0.463  f1_weighted=0.814
Epoch 05  val_acc=0.839  f1_macro=0.482  f1_weighted=0.824
Epoch 06  val_acc=0.852  f1_macro=0.514  f1_weighted=0.838
Epoch 07  val_acc=0.859  f1_macro=0.550  f1_weighted=0.851
Epoch 08  val_acc=0.864  f1_macro=0.563  f1_weighted=0.855
Epoch 09  val_acc=0.868  f1_macro=0.582  f1_weighted=0.859
Epoch 10  val_acc=0.873  f1_macro=0.599  f1_weighted=0.864
Epoch 11  val_acc=0.876  f1_macro=0.607  f1_weighted=0.869
Epoch 12  val_acc=0.880  f1_macro=0.619  f1_weighted=0.874
Epoch 13  val_acc=0.881  f1_macro=0.620  f1_weighted=0.875
Epoch 14  val_acc=0.883  f1_macro=0.624  f1_weighted=0.877
Epoch 15  val_acc=0.883  f1_macro=0.629  f1_weighted=0.877
