/home/bw584/Chord-Classification/Models/LSTM/lstm_train.py:97: UserWarning: Rare classes (<2) — random split used.
  warnings.warn("Rare classes (<2) — random split used.")
Epoch 01  val_acc=0.699  f1_macro=0.124  f1_weighted=0.638
Epoch 02  val_acc=0.729  f1_macro=0.199  f1_weighted=0.691
Epoch 03  val_acc=0.744  f1_macro=0.267  f1_weighted=0.717
Epoch 04  val_acc=0.767  f1_macro=0.302  f1_weighted=0.750
Epoch 05  val_acc=0.736  f1_macro=0.287  f1_weighted=0.708
Epoch 06  val_acc=0.780  f1_macro=0.386  f1_weighted=0.768
Epoch 07  val_acc=0.790  f1_macro=0.404  f1_weighted=0.780
Epoch 08  val_acc=0.811  f1_macro=0.444  f1_weighted=0.798
Epoch 09  val_acc=0.822  f1_macro=0.487  f1_weighted=0.814
Epoch 10  val_acc=0.842  f1_macro=0.548  f1_weighted=0.836
Epoch 11  val_acc=0.853  f1_macro=0.564  f1_weighted=0.845
Epoch 12  val_acc=0.861  f1_macro=0.614  f1_weighted=0.855
Epoch 13  val_acc=0.867  f1_macro=0.618  f1_weighted=0.861
Epoch 14  val_acc=0.871  f1_macro=0.626  f1_weighted=0.866
Epoch 15  val_acc=0.874  f1_macro=0.632  f1_weighted=0.869
