/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.358 f1_macro=0.034  f1_weighted=0.312
Epoch 02  val_acc=0.602 f1_macro=0.062  f1_weighted=0.525
Epoch 03  val_acc=0.526 f1_macro=0.054  f1_weighted=0.462
Epoch 04  val_acc=0.634 f1_macro=0.067  f1_weighted=0.569
Epoch 05  val_acc=0.643 f1_macro=0.067  f1_weighted=0.561
Epoch 06  val_acc=0.641 f1_macro=0.067  f1_weighted=0.558
Epoch 07  val_acc=0.695 f1_macro=0.078  f1_weighted=0.612
Epoch 08  val_acc=0.711 f1_macro=0.082  f1_weighted=0.624
Epoch 09  val_acc=0.726 f1_macro=0.087  f1_weighted=0.640
Epoch 10  val_acc=0.717 f1_macro=0.088  f1_weighted=0.632
Epoch 11  val_acc=0.734 f1_macro=0.094  f1_weighted=0.650
Epoch 12  val_acc=0.743 f1_macro=0.100  f1_weighted=0.660
Epoch 13  val_acc=0.744 f1_macro=0.103  f1_weighted=0.662
Epoch 14  val_acc=0.747 f1_macro=0.106  f1_weighted=0.665
Epoch 15  val_acc=0.747 f1_macro=0.104  f1_weighted=0.665
