/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.297 f1_macro=0.034  f1_weighted=0.300
Epoch 02  val_acc=0.686 f1_macro=0.071  f1_weighted=0.598
Epoch 03  val_acc=0.679 f1_macro=0.072  f1_weighted=0.596
Epoch 04  val_acc=0.702 f1_macro=0.073  f1_weighted=0.611
Epoch 05  val_acc=0.702 f1_macro=0.074  f1_weighted=0.611
Epoch 06  val_acc=0.674 f1_macro=0.074  f1_weighted=0.595
Epoch 07  val_acc=0.729 f1_macro=0.083  f1_weighted=0.638
Epoch 08  val_acc=0.716 f1_macro=0.087  f1_weighted=0.632
Epoch 09  val_acc=0.746 f1_macro=0.107  f1_weighted=0.665
Epoch 10  val_acc=0.749 f1_macro=0.112  f1_weighted=0.670
Epoch 11  val_acc=0.752 f1_macro=0.115  f1_weighted=0.675
Epoch 12  val_acc=0.759 f1_macro=0.128  f1_weighted=0.686
Epoch 13  val_acc=0.760 f1_macro=0.127  f1_weighted=0.687
Epoch 14  val_acc=0.765 f1_macro=0.134  f1_weighted=0.696
Epoch 15  val_acc=0.766 f1_macro=0.131  f1_weighted=0.694
