/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.284 f1_macro=0.022  f1_weighted=0.205
Epoch 02  val_acc=0.564 f1_macro=0.056  f1_weighted=0.481
Epoch 03  val_acc=0.644 f1_macro=0.067  f1_weighted=0.564
Epoch 04  val_acc=0.707 f1_macro=0.073  f1_weighted=0.614
Epoch 05  val_acc=0.699 f1_macro=0.072  f1_weighted=0.611
Epoch 06  val_acc=0.699 f1_macro=0.072  f1_weighted=0.609
Epoch 07  val_acc=0.700 f1_macro=0.072  f1_weighted=0.609
Epoch 08  val_acc=0.710 f1_macro=0.073  f1_weighted=0.614
Epoch 09  val_acc=0.717 f1_macro=0.074  f1_weighted=0.623
Epoch 10  val_acc=0.721 f1_macro=0.074  f1_weighted=0.624
Epoch 11  val_acc=0.725 f1_macro=0.075  f1_weighted=0.627
Epoch 12  val_acc=0.726 f1_macro=0.075  f1_weighted=0.628
Epoch 13  val_acc=0.726 f1_macro=0.075  f1_weighted=0.629
Epoch 14  val_acc=0.727 f1_macro=0.075  f1_weighted=0.629
Epoch 15  val_acc=0.728 f1_macro=0.075  f1_weighted=0.630
