/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.392 f1_macro=0.032  f1_weighted=0.299
Epoch 02  val_acc=0.440 f1_macro=0.046  f1_weighted=0.391
Epoch 03  val_acc=0.647 f1_macro=0.067  f1_weighted=0.564
Epoch 04  val_acc=0.673 f1_macro=0.070  f1_weighted=0.583
Epoch 05  val_acc=0.591 f1_macro=0.061  f1_weighted=0.516
Epoch 06  val_acc=0.652 f1_macro=0.068  f1_weighted=0.572
Epoch 07  val_acc=0.708 f1_macro=0.073  f1_weighted=0.616
Epoch 08  val_acc=0.719 f1_macro=0.075  f1_weighted=0.624
Epoch 09  val_acc=0.722 f1_macro=0.075  f1_weighted=0.626
Epoch 10  val_acc=0.722 f1_macro=0.075  f1_weighted=0.626
Epoch 11  val_acc=0.726 f1_macro=0.076  f1_weighted=0.630
Epoch 12  val_acc=0.731 f1_macro=0.077  f1_weighted=0.634
Epoch 13  val_acc=0.733 f1_macro=0.077  f1_weighted=0.636
Epoch 14  val_acc=0.733 f1_macro=0.078  f1_weighted=0.636
Epoch 15  val_acc=0.735 f1_macro=0.079  f1_weighted=0.638
