/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.236 f1_macro=0.018  f1_weighted=0.163
Epoch 02  val_acc=0.505 f1_macro=0.052  f1_weighted=0.449
Epoch 03  val_acc=0.636 f1_macro=0.065  f1_weighted=0.552
Epoch 04  val_acc=0.692 f1_macro=0.072  f1_weighted=0.602
Epoch 05  val_acc=0.704 f1_macro=0.073  f1_weighted=0.614
Epoch 06  val_acc=0.700 f1_macro=0.073  f1_weighted=0.609
Epoch 07  val_acc=0.704 f1_macro=0.073  f1_weighted=0.610
Epoch 08  val_acc=0.719 f1_macro=0.074  f1_weighted=0.624
Epoch 09  val_acc=0.716 f1_macro=0.074  f1_weighted=0.622
Epoch 10  val_acc=0.720 f1_macro=0.075  f1_weighted=0.625
Epoch 11  val_acc=0.728 f1_macro=0.077  f1_weighted=0.631
Epoch 12  val_acc=0.730 f1_macro=0.077  f1_weighted=0.633
Epoch 13  val_acc=0.730 f1_macro=0.077  f1_weighted=0.634
Epoch 14  val_acc=0.731 f1_macro=0.077  f1_weighted=0.634
Epoch 15  val_acc=0.731 f1_macro=0.078  f1_weighted=0.635
