/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:163: UserWarning: Rare classes (<2 samples) – random split applied.
  warnings.warn("Rare classes (<2 samples) – random split applied.")
/home/bw584/Chord-Classification/Models/CNN/cnn_train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda")
Epoch 01  val_acc=0.468 f1_macro=0.043  f1_weighted=0.391
Epoch 02  val_acc=0.674 f1_macro=0.071  f1_weighted=0.595
Epoch 03  val_acc=0.655 f1_macro=0.071  f1_weighted=0.599
Epoch 04  val_acc=0.696 f1_macro=0.072  f1_weighted=0.606
Epoch 05  val_acc=0.716 f1_macro=0.074  f1_weighted=0.621
Epoch 06  val_acc=0.715 f1_macro=0.075  f1_weighted=0.621
Epoch 07  val_acc=0.725 f1_macro=0.078  f1_weighted=0.632
Epoch 08  val_acc=0.719 f1_macro=0.083  f1_weighted=0.632
Epoch 09  val_acc=0.737 f1_macro=0.088  f1_weighted=0.649
Epoch 10  val_acc=0.733 f1_macro=0.090  f1_weighted=0.646
Epoch 11  val_acc=0.744 f1_macro=0.098  f1_weighted=0.661
Epoch 12  val_acc=0.748 f1_macro=0.102  f1_weighted=0.665
Epoch 13  val_acc=0.749 f1_macro=0.103  f1_weighted=0.667
Epoch 14  val_acc=0.751 f1_macro=0.105  f1_weighted=0.669
Epoch 15  val_acc=0.750 f1_macro=0.104  f1_weighted=0.669
